request_num,size,duration
713,512,1.229082277
674,512,1.319874196
720,512,1.223661941
701,1024,1.288340512
722,512,1.198577746
726,1024,1.225312576
695,1024,1.286718614
710,1024,1.295503069
712,512,1.261278736
676,512,1.325594221
707,512,1.297051722
693,1024,1.298151272
703,1024,1.290990864
689,512,1.311867247
727,1024,1.248132463
696,1024,1.297476452
718,1024,1.285782784
733,512,1.192444277
691,512,1.294557319
692,512,1.264977754
683,512,1.299967966
719,512,1.266937308
700,1024,1.267782914
679,1024,1.264724941
743,512,1.183135311
732,1024,1.207325181
709,512,1.268778856
729,512,1.226938026
725,1024,1.210248473
687,512,1.339173911
741,1024,1.180990749
735,1024,1.216579194
734,512,1.211662059
697,512,1.277731850
738,1024,1.206844965
721,1024,1.264042676
724,1024,1.279992407
742,1024,1.213458363
737,1024,1.200644858
740,512,1.201387588
756,1024,1.165422529
736,1024,1.221112276
686,1024,1.329486667
746,512,1.207673755
728,1024,1.225762884
694,1024,1.270078536
750,512,1.184439069
739,512,1.205197305
748,512,1.179330794
731,1024,1.231313031
